gid;aircraft_aircrafttype_iatacode;aircraft_aircrafttype_icaocode;aircraft_aircrafttype_modelname;airlines_airline_iatacode;airlines_airline_icaocode;airlines_airline_name;airlines_operator_iatacode;airlines_operator_icaocode;airlines_operator_name;airportresources_baggagedelivery_arrivallounge;airportresources_baggagedelivery_baggagebelts;airportresources_baggagedelivery_carrousels;airportresources_runway;airportresources_terminal;airportresources_unboarding_airbridges;airportresources_unboarding_gates;airports_origin_iatacode;airports_origin_icaocode;airports_origin_name;airports_previous_iatacode;airports_previous_icaocode;airports_previous_name;countrytype_code;countrytype_description;flightnumbers_callsign;flightnumbers_iataflightnumber;flightnumbers_icaoflightnumber;flightnumbers_internalflightnumber;flightnumbers_operatoriataflightnumber;flightnumbers_operatoricaoflightnumber;flightnumbers_operatorinternalflightnumber;flightnumbers_operatorsuffix;flightnumbers_operatortripnumber;flightnumbers_suffix;flightnumbers_tripnumber;flightstatus_code;flightstatus_description;publiccomment;remark_code;remark_description;servicetype_description;servicetype_iatacode;timestamps_aibt;timestamps_aldt;timestamps_atot_outstation;timestamps_cancellationdate;timestamps_diversiondate;timestamps_eibt;timestamps_eldt;timestamps_modificationdate;timestamps_sibt;turnflightinternalid;last_update_fme
1014695248;32V;A20N;A320 NEO;TU;TAR;Tunis Air;TU;TAR;Tunis Air;A1F  ;1.08;08;;T1   ;;AC06;TUN;DTTA;Tunis;TUN;DTTA;Tunis;I;International;TAR850  ;TU 850 ;TAR850  ;TU850   ;TU 850 ;TAR850  ;TU850   ;;850 ;;850 ;IBK;On-Block;;;;Passenger scheduled;J;2023-04-17 17:46:00;2023-04-17 17:41:00;2023-04-17 16:05:00;;;2023-04-17 17:49:00;2023-04-17 17:40:00;2023-04-17 19:17:14;2023-04-17 17:50:00;1014695334;2023-04-18 11:55:05
1014695128;320;A320;A320-100/200;EC;EJU;Easy Jet Europe;EC;EJU;Easy Jet Europe;A1F  ;1.07;07;;T1   ;;AB06;BOD;LFBD;Bordeaux;BOD;LFBD;Bordeaux;N;National;EJU697K ;EC 1817;EJU1817 ;EJU1817 ;EC 1817;EJU1817 ;EJU1817 ;;1817;;1817;IBK;On-Block;;;;Passenger scheduled;J;2023-04-17 20:55:00;2023-04-17 20:49:00;2023-04-17 19:57:00;;;2023-04-17 20:57:00;2023-04-17 20:49:00;2023-04-17 21:11:36;2023-04-17 21:00:00;1014695129;2023-04-18 11:55:05
1014695268;319;A319;A319;EC;EJU;Easy Jet Europe;EC;EJU;Easy Jet Europe;A1F  ;1.02;02;;T1   ;;A31A;OPO;LPPR;Porto;OPO;LPPR;Porto;S;Schengen;EJU74MG ;EC 4430;EJU4430 ;EJU4430 ;EC 4430;EJU4430 ;EJU4430 ;;4430;;4430;IBK;On-Block;;;;Passenger scheduled;J;2023-04-17 17:34:00;2023-04-17 17:28:00;2023-04-17 15:36:00;;;2023-04-17 17:36:00;2023-04-17 17:29:00;2023-04-17 19:15:59;2023-04-17 17:20:00;1014695269;2023-04-18 11:55:05
1014695276;320;A320;A320-100/200;V7;VOE;Volotea;V7;VOE;Volotea;A1F  ;1.10;10;;T1   ;;A1A;VLC;LEVC;Valencia;VLC;LEVC;Valencia;S;Schengen;VOE94NQ ;V7 2657;VOE2657 ;VOE2657 ;V7 2657;VOE2657 ;VOE2657 ;;2657;;2657;IBK;On-Block;;RTD  ;Vol retardé;Passenger scheduled;J;2023-04-17 20:12:00;2023-04-17 20:07:00;2023-04-17 18:47:00;;;2023-04-17 20:14:00;2023-04-17 20:08:00;2023-04-17 23:22:07;2023-04-17 17:35:00;1014695432;2023-04-18 11:55:05
1014695297;BEH;B190;1900d;T7;TJT;Twinjet;T7;TJT;Twinjet;A1F  ;1.09;09;;T1   ;;A1A;BLQ;LIPE;Bologne;BLQ;LIPE;Bologne;S;Schengen;TJT6616 ;T7 6616;TJT6616 ;T76616  ;T7 6616;TJT6616 ;T76616  ;;6616;;6616;IBK;On-Block;;;;Passenger scheduled;J;2023-04-17 17:43:00;2023-04-17 17:38:00;2023-04-17 16:34:00;;;2023-04-17 17:45:00;2023-04-17 17:38:00;2023-04-17 17:58:43;2023-04-17 17:40:00;1014695384;2023-04-18 11:55:05
1014695193;E90;E190;Embraer Rj190;TP;TAP;Tap Air Portugal;TP;TAP;Tap Air Portugal;A1F  ;1.10;10;;T1   ;;AB09;LIS;LPPT;Lisbonne;LIS;LPPT;Lisbonne;S;Schengen;TAP472C ;TP 472 ;TAP472  ;TP472   ;TP 472 ;TAP472  ;TP472   ;;472 ;;472 ;IBK;On-Block;;;;Passenger scheduled;J;2023-04-17 17:52:00;2023-04-17 17:45:00;2023-04-17 15:42:00;;;2023-04-17 17:53:00;2023-04-17 17:45:00;2023-04-17 19:16:01;2023-04-17 17:40:00;1014695373;2023-04-18 11:55:05
1014695187;321;A321;A321;AF;AFR;Air France;AF;AFR;Air France;A1F  ;1.07;07;;T1   ;;AB04;CDG;LFPG;Paris C. De Gaulle;CDG;LFPG;Paris C. De Gaulle;N;National;AFR92JZ ;AF 7368;AFR7368 ;AF7368  ;AF 7368;AFR7368 ;AF7368  ;;7368;;7368;IBK;On-Block;;RTD  ;Vol retardé;Passenger scheduled;J;2023-04-17 18:50:00;2023-04-17 18:45:00;2023-04-17 17:58:00;;;2023-04-17 18:53:00;2023-04-17 18:45:00;2023-04-17 19:21:06;2023-04-17 17:50:00;1014695188;2023-04-18 11:55:05
1014695306;319;A319;A319;EC;EJU;Easy Jet Europe;EC;EJU;Easy Jet Europe;A1F  ;1.03;03;;T1   ;;A31A;FSC;LFKF;Figari;FSC;LFKF;Figari;N;National;EJU148H ;EC 4340;EJU4340 ;EJU4340 ;EC 4340;EJU4340 ;EJU4340 ;;4340;;4340;IBK;On-Block;;;;Passenger scheduled;J;2023-04-17 13:32:00;2023-04-17 13:27:00;2023-04-17 12:30:00;;;2023-04-17 13:35:00;2023-04-17 13:27:00;2023-04-17 19:14:05;2023-04-17 13:30:00;1014695366;2023-04-18 11:55:05
1014695289;A21;A21N;A321 NEO;PC;PGT;Pegasus Airlines;PC;PGT;Pegasus Airlines;A1F  ;1.02;02;;T1   ;;A31D;SAW;LTFJ;Istanbul  Gokcen;SAW;LTFJ;Istanbul  Gokcen;I;International;PGT1141 ;PC 1141;PGT1141 ;PC1141  ;PC 1141;PGT1141 ;PC1141  ;;1141;;1141;IBK;On-Block;;;;Passenger scheduled;J;2023-04-17 13:11:00;2023-04-17 13:04:00;2023-04-17 10:22:00;;;2023-04-17 13:12:00;2023-04-17 13:04:00;2023-04-17 19:12:15;2023-04-17 13:35:00;1014695290;2023-04-18 11:55:05
1014695122;CR9;CRJ9;Crj-900;LH;DLH;Lufthansa;LH;DLH;Lufthansa;A1F  ;1.07;07;;T1   ;;AB06;MUC;EDDM;Munich;MUC;EDDM;Munich;S;Schengen;DLH99V  ;LH 2252;DLH2252 ;LH2252  ;LH 2252;DLH2252 ;LH2252  ;;2252;;2252;IBK;On-Block;;RTD  ;Vol retardé;Passenger scheduled;J;2023-04-17 19:57:00;2023-04-17 19:52:00;2023-04-17 18:51:00;;;2023-04-17 20:00:00;2023-04-17 19:52:00;2023-04-17 20:16:06;2023-04-17 19:20:00;1014695123;2023-04-18 11:55:05
